,proponente,nota_de_credito,programa,mes,valor_faturado,valor_economizado,valor_utilizado,saldo_no_periodo,relatorio,prop_pk1,prop_pk2
0,BANCADA-AL,01/2021,GESAC,2021-01-01,100000.0,18154.101424830475,100000.0,1719626.8014248305,0.0,BANCADA-AL,BANCADA-AL
1,BANCADA-AL,02/2021,GESAC,2021-01-01,50000.0,5284.57122174602,50000.0,479684.57122174604,0.0,BANCADA-AL,BANCADA-AL
2,BANCADA-AL,03/2021,GESAC,2021-01-01,20000.0,52662.425067610624,20000.0,5258474.425067611,0.0,BANCADA-AL,BANCADA-AL
3,BANCADA-MG,04/2021,GESAC,2021-01-01,10000.0,133809.94264487925,10000.0,13402074.34264488,0.0,BANCADA-MG,BANCADA-MG
4,BANCADA-SP,05/2021,GESAC,2021-01-01,500000.0,15567.133504284562,500000.0,1060329.1335042845,0.0,BANCADA-SP,BANCADA-SP
5,BANCADA-ES,06/2021,GESAC,2021-01-01,450000.0,14219.310265240418,450000.0,975233.7502652404,0.0,BANCADA-ES,BANCADA-ES
6,BANCADA-ES,07/2021,GESAC,2021-01-01,50000.0,22623.688773493162,50000.0,2217623.6887734933,0.0,BANCADA-ES,BANCADA-ES
7,BANCADA-ES,08/2021,GESAC,2021-01-01,20000.0,27732.913810535938,20000.0,2759732.913810536,0.0,BANCADA-ES,BANCADA-ES
8,BANCADA-MA,09/2021,GESAC,2021-01-01,10000.0,7558.025202726,10000.0,747558.025202726,0.0,BANCADA-MA,BANCADA-MA
9,BANCADA-PA,10/2021,GESAC,2021-01-01,500000.0,4937.90979911432,490000.0,-5062.090200885665,0.0,BANCADA-PA,BANCADA-PA
10,BANCADA-PA,11/2021,GESAC,2021-01-01,450000.0,8378.322871395196,450000.0,389778.32287139515,0.0,BANCADA-PA,BANCADA-PA
11,JUNIO AMARAL,12/2021,GESAC,2021-01-01,50000.0,2086.014955952376,50000.0,159086.01495595239,0.0,GERALDO JUNIO DO AMARAL,DEP. GERALDO JUNIO DO AMARAL
12,CELSO SABINO,13/2021,GESAC,2021-01-01,20000.0,979.496989103004,20000.0,78177.20698910301,0.0,CELSO SABINO DE OLIVEIRA,DEP. CELSO SABINO DE OLIVEIRA
13,CORONEL CHRISOSTOMO,14/2021,GESAC,2021-01-01,10000.0,1395.715320770068,10000.0,129895.71532077008,0.0,JOAO CHRISOSTOMO DE MOURA,DEP. JOAO CHRISOSTOMO DE MOURA
14,DIMAS FABIANO,15/2021,GESAC,2021-01-01,500000.0,2086.014955952376,207000.0,-290913.9850440476,0.0,DIMAS FABIANO TOLEDO JUNIOR,DEP. DIMAS FABIANO TOLEDO JUNIOR
