,prop_pk1,prop_1,prop_2,prop_3,prop_4,prop_pk2,uf,partido,orgao
0,BANCADA-AL,,BANCADA DE ALAGOAS,BANCADA AL,,BANCADA-AL,,,
1,MINISTERIO DAS COMUNICACOES,MCOM (CD),MCOM,MINISTERIO DAS COMUNICACOES,,MINISTERIO DAS COMUNICACOES,,,
2,BANCADA-ES,BANCADA DO ESPIRITO SANTO,Bancada do Espírito Santo,BANCADA ES,,BANCADA-ES,,,
3,BANCADA-MA,BANCADA MA,BANCADA DO MARANHAO,BANCADA DEPUTADOS DO MARANHAO,,BANCADA-MA,,,
4,BANCADA-MG,,BANCADA DE MINAS GERAIS,BANCADA MG,,BANCADA-MG,,,
5,CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA,,,CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA,,CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA,,,
6,EMENDA DE COMISSAO DE FINANCAS E TRIBUTACAO,,,EMENDA DE COMISSAO DE FINANCAS E TRIBUTACAO,,EMENDA DE COMISSAO DE FINANCAS E TRIBUTACAO,,,
7,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAÇOES",MCTI,"Ministério da Ciência, Tecnologia e Inovações",INOVACOES E COMUNICACOES,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES  E COMUNICACOES","MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAÇOES",,,
8,MINISTERIO DA AGRICULTURA,,MAPA,MINISTERIO DA AGRICULTURA,,MINISTERIO DA AGRICULTURA,,,
9,MINISTERIO DA CIDADANIA,,,MINISTERIO DA CIDADANIA,,MINISTERIO DA CIDADANIA,,,
10,MINISTERIO DA CIENCIA,,,MINISTERIO DA CIENCIA,,MINISTERIO DA CIENCIA,,,
11,MINISTERIO DA EDUCACAO,,,MINISTERIO DA EDUCACAO,,MINISTERIO DA EDUCACAO,,,
12,MINISTERIO DA JUSTICA,,,MINISTERIO DA JUSTICA,,MINISTERIO DA JUSTICA,,,
13,MINISTERIO DA SAUDE,,,MINISTERIO DA SAUDE,,MINISTERIO DA SAUDE,,,
14,PATRIA VOLUNTARIA,,,PATRIA VOLUNTARIA,,PATRIA VOLUNTARIA,,,
15,POLICIA RODOVIARIA FEDERAL,,,POLICIA RODOVIARIA FEDERAL,,POLICIA RODOVIARIA FEDERAL,,,
16,POLICIA RODOVIARIA FEDERAL-AM,,POLICIA RODOVIARIA FEDERAL AM,POLICIA RODOVIARIA FEDERAL-AM,,POLICIA RODOVIARIA FEDERAL-AM,,,
17,TECNOLOGIA,,,TECNOLOGIA,,TECNOLOGIA,,,
18,BANCADA-SP,,,BANCADA DE SAO PAULO,,BANCADA-SP,,,
19,BANCADA-PA,,,BANCADA DO PARA,,BANCADA-PA,,,
20,CENSIPAM,,,CENSIPAM,,CENSIPAM,,,
21,COMISSAO CAMARA,,,COMISSAO CAMARA,,COMISSAO CAMARA,,,
22,POLICIA RODOVIARIA FEDERAL-RO,,,POLICIA RODOVIARIA FEDERAL RO,,POLICIA RODOVIARIA FEDERAL-RO,,,
23,COMISSAO DE ORCAMENTO E FINANCAS,,,COMISSAO DE ORCAMENTO E FINANCAS,,COMISSAO DE ORCAMENTO E FINANCAS,,,
24,MINISTERIO DAS COMUNICACOES (MS),,,MINISTERIO DAS COMUNICACOES (MS),,MINISTERIO DAS COMUNICACOES (MS),,,
25,MINISTERIO DO MEIO AMBIENTE,,,MINISTERIO DO MEIO AMBIENTE,,MINISTERIO DO MEIO AMBIENTE,,,
26,PRF-AM,,,,PRF-AM,PRF-AM,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,ACIR GURGACZ,,,,,SEN. ACIR GURGACZ,RO,PDT,senado
31,ALESSANDRO VIEIRA,,,,,SEN. ALESSANDRO VIEIRA,SE,CIDADANIA,senado
32,ALVARO DIAS,,,,,SEN. ALVARO DIAS,PR,PODEMOS,senado
33,ANGELO CORONEL,,,,,SEN. ANGELO CORONEL,BA,PSD,senado
34,ANTONIO ANASTASIA,,,,,SEN. ANTONIO ANASTASIA,MG,PSD,senado
35,CARLOS FAVARO,,,,,SEN. CARLOS FAVARO,MT,PSD,senado
36,CARLOS PORTINHO,,,,,SEN. CARLOS PORTINHO,RJ,PL,senado
37,CONFUCIO AIRES MOURA,SENADOR CONFUCIO MOURA,CONFUCIO MOURA,,,SEN. CONFUCIO AIRES MOURA,RO,MDB,senado
38,CARLOS VIANA,,,,,SEN. CARLOS VIANA,MG,PSD,senado
39,CHICO RODRIGUES,,,,,SEN. CHICO RODRIGUES,RR,DEM,senado
40,CHIQUINHO FEITOSA,,,,,SEN. CHIQUINHO FEITOSA,CE,DEM,senado
41,CID GOMES,,,,,SEN. CID GOMES,CE,PDT,senado
42,DANIELLA RIBEIRO,,,,,SEN. DANIELLA RIBEIRO,PB,PP,senado
43,DARIO BERGER,,,,,SEN. DARIO BERGER,SC,MDB,senado
44,DAVI ALCOLUMBRE,,,,,SEN. DAVI ALCOLUMBRE,AP,DEM,senado
45,EDUARDO BRAGA,,,,,SEN. EDUARDO BRAGA,AM,MDB,senado
46,EDUARDO GIRAO,,,,,SEN. EDUARDO GIRAO,CE,PODEMOS,senado
47,EDUARDO GOMES,,,,,SEN. EDUARDO GOMES,TO,MDB,senado
48,ELIANE NOGUEIRA,,,,,SEN. ELIANE NOGUEIRA,PI,PP,senado
49,ELIZIANE GAMA,,,,,SEN. ELIZIANE GAMA,MA,CIDADANIA,senado
50,ELMANO FERRER,,,,,SEN. ELMANO FERRER,PI,PP,senado
51,ESPERIDIAO AMIN,,,,,SEN. ESPERIDIAO AMIN,SC,PP,senado
52,FABIANO CONTARATO,,,,,SEN. FABIANO CONTARATO,ES,REDE,senado
53,FERNANDO BEZERRA COELHO,,,,,SEN. FERNANDO BEZERRA COELHO,PE,MDB,senado
54,FERNANDO COLLOR,,,,,SEN. FERNANDO COLLOR,AL,PROS,senado
55,FLAVIO ARNS,,,,,SEN. FLAVIO ARNS,PR,PODEMOS,senado
56,FLAVIO BOLSONARO,,,,,SEN. FLAVIO BOLSONARO,RJ,PL,senado
57,GIORDANO,,,,,SEN. GIORDANO,SP,MDB,senado
58,HUMBERTO COSTA,,,,,SEN. HUMBERTO COSTA,PE,PT,senado
59,IRAJA,,,,,SEN. IRAJA,TO,PSD,senado
60,IZALCI LUCAS,,,,,SEN. IZALCI LUCAS,DF,PSDB,senado
61,JADER BARBALHO,,,,,SEN. JADER BARBALHO,PA,MDB,senado
62,JAQUES WAGNER,,,,,SEN. JAQUES WAGNER,BA,PT,senado
63,JARBAS VASCONCELOS,,,,,SEN. JARBAS VASCONCELOS,PE,MDB,senado
64,JAYME CAMPOS,,,,,SEN. JAYME CAMPOS,MT,DEM,senado
65,JEAN PAUL PRATES,,,,,SEN. JEAN PAUL PRATES,RN,PT,senado
66,JORGE KAJURU,,,,,SEN. JORGE KAJURU,GO,PODEMOS,senado
67,JORGINHO MELLO,,,,,SEN. JORGINHO MELLO,SC,PL,senado
68,JOSE ANIBAL,,,,,SEN. JOSE ANIBAL,SP,PSDB,senado
69,KATIA ABREU,,,,,SEN. KATIA ABREU,TO,PP,senado
70,LASIER MARTINS,,,,,SEN. LASIER MARTINS,RS,PODEMOS,senado
71,LEILA BARROS,,,,,SEN. LEILA BARROS,DF,CIDADANIA,senado
72,LUCAS BARRETO,,,,,SEN. LUCAS BARRETO,AP,PSD,senado
73,LUIS CARLOS HEINZE,,,,,SEN. LUIS CARLOS HEINZE,RS,PP,senado
74,LUIZ DO CARMO,,,,,SEN. LUIZ DO CARMO,GO,MDB,senado
75,MAILZA GOMES,,,,,SEN. MAILZA GOMES,AC,PP,senado
76,MARA GABRILLI,,,,,SEN. MARA GABRILLI,SP,PSDB,senado
77,MARCELO CASTRO,,,,,SEN. MARCELO CASTRO,PI,MDB,senado
78,MARCIO BITTAR,,,,,SEN. MARCIO BITTAR,AC,PSL,senado
79,MARCOS DO VAL,,,,,SEN. MARCOS DO VAL,ES,PODEMOS,senado
80,MARCOS ROGERIO,,,,,SEN. MARCOS ROGERIO,RO,DEM,senado
81,MARIA DO CARMO ALVES,,,,,SEN. MARIA DO CARMO ALVES,SE,DEM,senado
82,MARIA ELIZA,,,,,SEN. MARIA ELIZA,RO,MDB,senado
83,MECIAS DE JESUS,,,,,SEN. MECIAS DE JESUS,RR,REPUBLICANOS,senado
84,NELSINHO TRAD FILHO,,,,,SEN. NELSINHO TRAD FILHO,MS,PSD,senado
85,NILDA GONDIM,,,,,SEN. NILDA GONDIM,PB,MDB,senado
86,OMAR AZIZ,,,,,SEN. OMAR AZIZ,AM,PSD,senado
87,ORIOVISTO GUIMARAES,,,,,SEN. ORIOVISTO GUIMARAES,PR,PODEMOS,senado
88,OTTO ALENCAR,,,,,SEN. OTTO ALENCAR,BA,PSD,senado
89,PAULO PAIM,,,,,SEN. PAULO PAIM,RS,PT,senado
90,PAULO ROCHA,,,,,SEN. PAULO ROCHA,PA,PT,senado
91,PLINIO VALERIO,,,,,SEN. PLINIO VALERIO,AM,PSDB,senado
92,RANDOLFE RODRIGUES,,,,,SEN. RANDOLFE RODRIGUES,AP,REDE,senado
93,REGUFFE,,,,,SEN. REGUFFE,DF,PODEMOS,senado
94,RENAN CALHEIROS,,,,,SEN. RENAN CALHEIROS,AL,MDB,senado
95,ROBERTO ROCHA,,,,,SEN. ROBERTO ROCHA,MA,PSDB,senado
