,processo,proponente,contrato,nota_de_empenho,valor_empenhado,valor_pago,saldo_do_empenho,consumo_%,janeiro,fevereiro,marco,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,tipo,prop_pk1,prop_pk2
0,53115.006429/2021-12,BANCADA-DE ALAGOAS,GESAC,2021NE000127,1917000.0,0.0,1917000.0,0.0,,,,,,,,,,,,,Em. Comissão,,
1,53115.006429/2021-12,BANCADA-DE ALAGOAS,GESAC,2021NE000156,524400.0,0.0,524400.0,0.0,,,,,,,,,,,,,Em. Comissão,,
2,53115.006429/2021-12,BANCADA-DE ALAGOAS,WifiBrasil,2021NE000137,608000.0,0.0,608000.0,0.0,,,,,,,,,,,,,Em. Comissão,,
3,53115.006429/2021-12,BANCADA-DE ALAGOAS,WifiBrasil,2021NE000157,175000.0,0.0,175000.0,0.0,,,,,,,,,,,,,Em. Comissão,,
4,53115.006429/2021-12,BANCADA-DE ALAGOAS,GESAC,2021NE000209,5225812.0,0.0,5225812.0,0.0,,,,,,,,,,,,,Em. Comissão,,
5,53115.006429/2021-12,BANCADA-DE ALAGOAS,WifiBrasil,2021NE000210,750000.0,0.0,750000.0,0.0,,,,,,,,,,,,,Em. Comissão,,
6,53115.006430/2021-47,BANCADA-DE MINAS GERAIS,GESAC,2021NE000083,13616356.0,0.0,13616356.0,0.0,,,,,,,,,,,,,Em. Comissão,,
7,53115.006430/2021-47,BANCADA-DE MINAS GERAIS,WifiBrasil,2021NE000084,5200000.0,0.0,5200000.0,0.0,,,,,,,,,,,,,Em. Comissão,,
8,53115.006431/2021-91,BANCADA-DE SAO PAULO,GESAC,2021NE000171,1544762.0,0.0,1544762.0,0.0,,,,,,,,,,,,,Em. Comissão,,
9,53115.006431/2021-91,BANCADA-DE SAO PAULO,WifiBrasil,2021NE000172,695280.0,0.0,695280.0,0.0,,,,,,,,,,,,,Em. Comissão,,
10,53115.006432/2021-36,BANCADA-DO ESPIRITO SANTO,GESAC,2021NE000101,1500000.0,0.0,1500000.0,0.0,,,,,,,,,,,,,Em. Comissão,,
11,53115.006432/2021-36,BANCADA-DO ESPIRITO SANTO,GESAC,2021NE000126,2245000.0,0.0,2245000.0,0.0,,,,,,,,,,,,,Em. Comissão,,
12,53115.006432/2021-36,BANCADA-DO ESPIRITO SANTO,GESAC,2021NE000159,2752000.0,0.0,2752000.0,0.0,,,,,,,,,,,,,Em. Comissão,,
13,53115.006432/2021-36,BANCADA-DO ESPIRITO SANTO,WifiBrasil,2021NE000136,783000.0,0.0,783000.0,0.0,,,,,,,,,,,,,Em. Comissão,,
14,53115.006432/2021-36,BANCADA-DO ESPIRITO SANTO,WifiBrasil,2021NE000160,840153.99,0.0,840153.99,0.0,,,,,,,,,,,,,Em. Comissão,,
15,53115.006433/2021-81,BANCADA-DO MARANHAO,GESAC,2021NE000108,750000.0,0.0,750000.0,0.0,,,,,,,,,,,,,Em. Comissão,,
16,53115.006434/2021-25,BANCADA-DO PARA,GESAC,2021NE000134,490000.0,0.0,490000.0,0.0,,,,,,,,,,,,,Em. Comissão,,
17,53115.006434/2021-25,BANCADA-DO PARA,GESAC,2021NE000158,831400.0,0.0,831400.0,0.0,,,,,,,,,,,,,Em. Comissão,,
18,53115.006434/2021-25,BANCADA-DO PARA,WifiBrasil,2021NE000135,184000.0,0.0,184000.0,0.0,,,,,,,,,,,,,Em. Comissão,,
19,53115.006434/2021-25,BANCADA-DO PARA,WifiBrasil,2021NE000161,312420.0,0.0,312420.0,0.0,,,,,,,,,,,,,Em. Comissão,,
20,53115.021581/2021-25,CABO JUNIO AMARAL,GESAC,2021NE000122,207000.0,0.0,207000.0,0.0,,,,,,,,,,,,,Em. Individual,,
21,53115.021581/2021-25,CABO JUNIO AMARAL,WifiBrasil,2021NE000123,93000.0,0.0,93000.0,0.0,,,,,,,,,,,,,Em. Individual,,
22,53115.040805/2021-06,ALICE PORTUGAL,GESAC,2021NE000238,241500.0,0.0,241500.0,0.0,,,,,,,,,,,,,Em. Individual,,
23,53115.040805/2021-06,ALICE PORTUGAL,WifiBrasil,2021NE000239,108500.0,0.0,108500.0,0.0,,,,,,,,,,,,,Em. Individual,,
24,53115.006499/2021-71,CELSO SABINO,GESAC,2021NE000119,215340.0,0.0,215340.0,0.0,,,,,,,,,,,,,Em. Individual,,
25,01250.050185/2019-32,CENSIPAM,GESAC,2021NE000264,2238358.5,0.0,2238358.5,0.0,,,,,,,,,,,,,TED,,
26,53115.006508/2021-23,CORONEL CHRISOSTOMO,GESAC,2021NE000132,138500.0,0.0,138500.0,0.0,,,,,,,,,,,,,Em. Individual,,
27,53115.006508/2021-23,CORONEL CHRISOSTOMO,WifiBrasil,2021NE000133,61500.0,0.0,61500.0,0.0,,,,,,,,,,,,,Em. Individual,,
28,53115.006538/2021-30,DIMAS FABIANO,GESAC,2021NE000183,207000.0,0.0,207000.0,0.0,,,,,,,,,,,,,Em. Individual,,
29,53115.006538/2021-30,DIMAS FABIANO,WifiBrasil,2021NE000184,93000.0,0.0,93000.0,0.0,,,,,,,,,,,,,Em. Individual,,
30,53115.006539/2021-84,EDNA HENRIQUE,GESAC,2021NE000130,208000.0,0.0,208000.0,0.0,,,,,,,,,,,,,Em. Individual,,
31,53115.006539/2021-84,EDNA HENRIQUE,WifiBrasil,2021NE000131,92000.0,0.0,92000.0,0.0,,,,,,,,,,,,,Em. Individual,,
32,53115.037097/2021-18,ELIAS VAZ,GESAC,2021NE000192,400000.0,0.0,400000.0,0.0,,,,,,,,,,,,,Em. Individual,,
33,53115.037097/2021-18,ELIAS VAZ,GESAC,2021NE000235,360000.0,0.0,360000.0,0.0,,,,,,,,,,,,,Em. Individual,,
34,53115.006542/2021-06,EXPEDITO NETTO,GESAC,2021NE000117,339993.0,0.0,339993.0,0.0,,,,,,,,,,,,,Em. Individual,,
35,53115.007124/2021-28,FABIO REIS,GESAC,2021NE000085,108120.0,0.0,108120.0,0.0,,,,,,,,,,,,,Em. Individual,,
36,53115.007124/2021-28,FABIO REIS,WifiBrasil,2021NE000086,41880.0,0.0,41880.0,0.0,,,,,,,,,,,,,Em. Individual,,
37,53115.007127/2021-61,FLAVIA ARRUDA,GESAC,2021NE000167,1131456.0,0.0,1131456.0,0.0,,,,,,,,,,,,,Em. Individual,,
38,53115.007127/2021-61,FLAVIA ARRUDA,WifiBrasil,2021NE000168,368544.0,0.0,368544.0,0.0,,,,,,,,,,,,,Em. Individual,,
39,53115.007128/2021-14,FLAVIANO MELO,GESAC,2021NE000097,66000.0,0.0,66000.0,0.0,,,,,,,,,,,,,Em. Individual,,
40,53115.007128/2021-14,FLAVIANO MELO,GESAC,2021NE000189,561190.0,0.0,561190.0,0.0,,,,,,,,,,,,,Em. Individual,,
41,53115.007129/2021-51,GENERAL GIRAO,GESAC,2021NE000139,207000.0,0.0,207000.0,0.0,,,,,,,,,,,,,Em. Individual,,
42,53115.007129/2021-51,GENERAL GIRAO,WifiBrasil,2021NE000140,93000.0,0.0,93000.0,0.0,,,,,,,,,,,,,Em. Individual,,
43,53115.007135/2021-16,JOAO ROMA,GESAC,2021NE000096,590000.0,0.0,590000.0,0.0,,,,,,,,,,,,,Em. Individual,,
44,53115.007135/2021-16,JOAO ROMA,GESAC,2021NE000120,439986.0,0.0,439986.0,0.0,,,,,,,,,,,,,Em. Individual,,
45,53115.007137/2021-05,JOENIA WAPICHANA,GESAC,2021NE000087,440000.0,0.0,440000.0,0.0,,,,,,,,,,,,,Em. Individual,,
46,53115.007138/2021-41,JOSE MEDEIROS,GESAC,2021NE000099,390000.0,0.0,390000.0,0.0,,,,,,,,,,,,,Em. Individual,,
47,53115.007138/2021-41,JOSE MEDEIROS,GESAC,2021NE000124,269340.0,0.0,269340.0,0.0,,,,,,,,,,,,,Em. Individual,,
48,53115.007140/2021-11,JOSE NUNES,GESAC,2021NE000181,207000.0,0.0,207000.0,0.0,,,,,,,,,,,,,Em. Individual,,
49,53115.007140/2021-11,JOSE NUNES,WifiBrasil,2021NE000182,93000.0,0.0,93000.0,0.0,,,,,,,,,,,,,Em. Individual,,
50,53115.007143/2021-54,JOSIVALDO JP,GESAC,2021NE000128,102000.0,0.0,102000.0,0.0,,,,,,,,,,,,,Em. Individual,,
51,53115.007143/2021-54,JOSIVALDO JP,WifiBrasil,2021NE000129,48000.0,0.0,48000.0,0.0,,,,,,,,,,,,,Em. Individual,,
52,53115.007148/2021-87,JUNIOR LOURENCO,GESAC,2021NE000177,345000.0,0.0,345000.0,0.0,,,,,,,,,,,,,Em. Individual,,
53,53115.007148/2021-87,JUNIOR LOURENCO,WifiBrasil,2021NE000178,155000.0,0.0,155000.0,0.0,,,,,,,,,,,,,Em. Individual,,
54,53115.007150/2021-56,LEO DE BRITO,GESAC,2021NE000179,430000.0,0.0,430000.0,0.0,,,,,,,,,,,,,Em. Individual,,
55,53115.007150/2021-56,LEO DE BRITO,WifiBrasil,2021NE000180,170000.0,0.0,170000.0,0.0,,,,,,,,,,,,,Em. Individual,,
56,53115.023142/2021-57,LEUR LOMANTO,GESAC,2021NE000098,72000.0,0.0,72000.0,0.0,,,,,,,,,,,,,Em. Individual,,
57,53115.023142/2021-57,LEUR LOMANTO,WifiBrasil,2021NE000100,28000.0,0.0,28000.0,0.0,,,,,,,,,,,,,Em. Individual,,
58,53115.007159/2021-67,LUCIANO BIVAR,GESAC,2021NE000118,207000.0,0.0,207000.0,0.0,,,,,,,,,,,,,Em. Individual,,
59,53115.007159/2021-67,LUCIANO BIVAR,WifiBrasil,2021NE000199,93000.0,0.0,93000.0,0.0,,,,,,,,,,,,,Em. Individual,,
60,53115.007161/2021-36,LUIS TIBE,GESAC,2021NE000169,207000.0,0.0,207000.0,0.0,,,,,,,,,,,,,Em. Individual,,
61,53115.007161/2021-36,LUIS TIBE,WifiBrasil,2021NE000170,93000.0,0.0,93000.0,0.0,,,,,,,,,,,,,Em. Individual,,
