,prop_pk1,uf,partido,orgao,prop_1,prop_2,prop_3,prop_4,prop_pk2
0,BANCADA-AL,,,,,BANCADA DE ALAGOAS,BANCADA AL,,BANCADA-AL
1,MINISTERIO DAS COMUNICACOES,,,,MCOM (CD),MCOM,MINISTERIO DAS COMUNICACOES,,MINISTERIO DAS COMUNICACOES
2,BANCADA-ES,,,,BANCADA DO ESPIRITO SANTO,Bancada do Espírito Santo,BANCADA ES,,BANCADA-ES
3,BANCADA-MA,,,,BANCADA MA,BANCADA DO MARANHAO,BANCADA DEPUTADOS DO MARANHAO,,BANCADA-MA
4,BANCADA-MG,,,,,BANCADA DE MINAS GERAIS,BANCADA MG,,BANCADA-MG
5,CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA,,,,,,CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA,,CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA
6,EMENDA DE COMISSAO DE FINANCAS E TRIBUTACAO,,,,,,EMENDA DE COMISSAO DE FINANCAS E TRIBUTACAO,,EMENDA DE COMISSAO DE FINANCAS E TRIBUTACAO
7,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAÇOES",,,,MCTI,"Ministério da Ciência, Tecnologia e Inovações",INOVACOES E COMUNICACOES,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES  E COMUNICACOES","MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAÇOES"
8,MINISTERIO DA AGRICULTURA,,,,,MAPA,MINISTERIO DA AGRICULTURA,,MINISTERIO DA AGRICULTURA
9,MINISTERIO DA CIDADANIA,,,,,,MINISTERIO DA CIDADANIA,,MINISTERIO DA CIDADANIA
10,MINISTERIO DA CIENCIA,,,,,,MINISTERIO DA CIENCIA,,MINISTERIO DA CIENCIA
11,MINISTERIO DA EDUCACAO,,,,,,MINISTERIO DA EDUCACAO,,MINISTERIO DA EDUCACAO
12,MINISTERIO DA JUSTICA,,,,,,MINISTERIO DA JUSTICA,,MINISTERIO DA JUSTICA
13,MINISTERIO DA SAUDE,,,,,,MINISTERIO DA SAUDE,,MINISTERIO DA SAUDE
14,PATRIA VOLUNTARIA,,,,,,PATRIA VOLUNTARIA,,PATRIA VOLUNTARIA
15,POLICIA RODOVIARIA FEDERAL,,,,,,POLICIA RODOVIARIA FEDERAL,,POLICIA RODOVIARIA FEDERAL
16,POLICIA RODOVIARIA FEDERAL-AM,,,,,POLICIA RODOVIARIA FEDERAL AM,POLICIA RODOVIARIA FEDERAL-AM,,POLICIA RODOVIARIA FEDERAL-AM
17,TECNOLOGIA,,,,,,TECNOLOGIA,,TECNOLOGIA
18,BANCADA-SP,,,,,,BANCADA DE SAO PAULO,,BANCADA-SP
19,BANCADA-PA,,,,,,BANCADA DO PARA,,BANCADA-PA
20,CENSIPAM,,,,,,CENSIPAM,,CENSIPAM
21,COMISSAO CAMARA,,,,,,COMISSAO CAMARA,,COMISSAO CAMARA
22,POLICIA RODOVIARIA FEDERAL-RO,,,,,,POLICIA RODOVIARIA FEDERAL RO,,POLICIA RODOVIARIA FEDERAL-RO
23,COMISSAO DE ORCAMENTO E FINANCAS,,,,,,COMISSAO DE ORCAMENTO E FINANCAS,,COMISSAO DE ORCAMENTO E FINANCAS
24,MINISTERIO DAS COMUNICACOES (MS),,,,,,MINISTERIO DAS COMUNICACOES (MS),,MINISTERIO DAS COMUNICACOES (MS)
25,MINISTERIO DO MEIO AMBIENTE,,,,,,MINISTERIO DO MEIO AMBIENTE,,MINISTERIO DO MEIO AMBIENTE
26,PRF-AM,,,,,,,PRF-AM,PRF-AM
27,nan,,,,,,,,
28,nan,,,,,,,,
29,nan,,,,,,,,
30,ACIR GURGACZ,RO,PDT,senado,,,,,SEN. ACIR GURGACZ
31,ALESSANDRO VIEIRA,SE,CIDADANIA,senado,,,,,SEN. ALESSANDRO VIEIRA
32,ALVARO DIAS,PR,PODEMOS,senado,,,,,SEN. ALVARO DIAS
33,ANGELO CORONEL,BA,PSD,senado,,,,,SEN. ANGELO CORONEL
34,ANTONIO ANASTASIA,MG,PSD,senado,,,,,SEN. ANTONIO ANASTASIA
35,CARLOS FAVARO,MT,PSD,senado,,,,,SEN. CARLOS FAVARO
36,CARLOS PORTINHO,RJ,PL,senado,,,,,SEN. CARLOS PORTINHO
37,CONFUCIO AIRES MOURA,RO,MDB,senado,SENADOR CONFUCIO MOURA,CONFUCIO MOURA,,,SEN. CONFUCIO AIRES MOURA
38,CARLOS VIANA,MG,PSD,senado,,,,,SEN. CARLOS VIANA
39,CHICO RODRIGUES,RR,DEM,senado,,,,,SEN. CHICO RODRIGUES
40,CHIQUINHO FEITOSA,CE,DEM,senado,,,,,SEN. CHIQUINHO FEITOSA
41,CID GOMES,CE,PDT,senado,,,,,SEN. CID GOMES
42,DANIELLA RIBEIRO,PB,PP,senado,,,,,SEN. DANIELLA RIBEIRO
43,DARIO BERGER,SC,MDB,senado,,,,,SEN. DARIO BERGER
44,DAVI ALCOLUMBRE,AP,DEM,senado,,,,,SEN. DAVI ALCOLUMBRE
45,EDUARDO BRAGA,AM,MDB,senado,,,,,SEN. EDUARDO BRAGA
46,EDUARDO GIRAO,CE,PODEMOS,senado,,,,,SEN. EDUARDO GIRAO
47,EDUARDO GOMES,TO,MDB,senado,,,,,SEN. EDUARDO GOMES
48,ELIANE NOGUEIRA,PI,PP,senado,,,,,SEN. ELIANE NOGUEIRA
49,ELIZIANE GAMA,MA,CIDADANIA,senado,,,,,SEN. ELIZIANE GAMA
50,ELMANO FERRER,PI,PP,senado,,,,,SEN. ELMANO FERRER
51,ESPERIDIAO AMIN,SC,PP,senado,,,,,SEN. ESPERIDIAO AMIN
52,FABIANO CONTARATO,ES,REDE,senado,,,,,SEN. FABIANO CONTARATO
53,FERNANDO BEZERRA COELHO,PE,MDB,senado,,,,,SEN. FERNANDO BEZERRA COELHO
54,FERNANDO COLLOR,AL,PROS,senado,,,,,SEN. FERNANDO COLLOR
55,FLAVIO ARNS,PR,PODEMOS,senado,,,,,SEN. FLAVIO ARNS
56,FLAVIO BOLSONARO,RJ,PL,senado,,,,,SEN. FLAVIO BOLSONARO
57,GIORDANO,SP,MDB,senado,,,,,SEN. GIORDANO
58,HUMBERTO COSTA,PE,PT,senado,,,,,SEN. HUMBERTO COSTA
59,IRAJA,TO,PSD,senado,,,,,SEN. IRAJA
60,IZALCI LUCAS,DF,PSDB,senado,,,,,SEN. IZALCI LUCAS
61,JADER BARBALHO,PA,MDB,senado,,,,,SEN. JADER BARBALHO
62,JAQUES WAGNER,BA,PT,senado,,,,,SEN. JAQUES WAGNER
63,JARBAS VASCONCELOS,PE,MDB,senado,,,,,SEN. JARBAS VASCONCELOS
64,JAYME CAMPOS,MT,DEM,senado,,,,,SEN. JAYME CAMPOS
65,JEAN PAUL PRATES,RN,PT,senado,,,,,SEN. JEAN PAUL PRATES
66,JORGE KAJURU,GO,PODEMOS,senado,,,,,SEN. JORGE KAJURU
67,JORGINHO MELLO,SC,PL,senado,,,,,SEN. JORGINHO MELLO
68,JOSE ANIBAL,SP,PSDB,senado,,,,,SEN. JOSE ANIBAL
69,KATIA ABREU,TO,PP,senado,,,,,SEN. KATIA ABREU
70,LASIER MARTINS,RS,PODEMOS,senado,,,,,SEN. LASIER MARTINS
71,LEILA BARROS,DF,CIDADANIA,senado,,,,,SEN. LEILA BARROS
72,LUCAS BARRETO,AP,PSD,senado,,,,,SEN. LUCAS BARRETO
73,LUIS CARLOS HEINZE,RS,PP,senado,,,,,SEN. LUIS CARLOS HEINZE
74,LUIZ DO CARMO,GO,MDB,senado,,,,,SEN. LUIZ DO CARMO
75,MAILZA GOMES,AC,PP,senado,,,,,SEN. MAILZA GOMES
76,MARA GABRILLI,SP,PSDB,senado,,,,,SEN. MARA GABRILLI
77,MARCELO CASTRO,PI,MDB,senado,,,,,SEN. MARCELO CASTRO
78,MARCIO BITTAR,AC,PSL,senado,,,,,SEN. MARCIO BITTAR
79,MARCOS DO VAL,ES,PODEMOS,senado,,,,,SEN. MARCOS DO VAL
80,MARCOS ROGERIO,RO,DEM,senado,,,,,SEN. MARCOS ROGERIO
81,MARIA DO CARMO ALVES,SE,DEM,senado,,,,,SEN. MARIA DO CARMO ALVES
82,MARIA ELIZA,RO,MDB,senado,,,,,SEN. MARIA ELIZA
83,MECIAS DE JESUS,RR,REPUBLICANOS,senado,,,,,SEN. MECIAS DE JESUS
84,NELSINHO TRAD FILHO,MS,PSD,senado,,,,,SEN. NELSINHO TRAD FILHO
85,NILDA GONDIM,PB,MDB,senado,,,,,SEN. NILDA GONDIM
86,OMAR AZIZ,AM,PSD,senado,,,,,SEN. OMAR AZIZ
87,ORIOVISTO GUIMARAES,PR,PODEMOS,senado,,,,,SEN. ORIOVISTO GUIMARAES
88,OTTO ALENCAR,BA,PSD,senado,,,,,SEN. OTTO ALENCAR
89,PAULO PAIM,RS,PT,senado,,,,,SEN. PAULO PAIM
90,PAULO ROCHA,PA,PT,senado,,,,,SEN. PAULO ROCHA
91,PLINIO VALERIO,AM,PSDB,senado,,,,,SEN. PLINIO VALERIO
92,RANDOLFE RODRIGUES,AP,REDE,senado,,,,,SEN. RANDOLFE RODRIGUES
93,REGUFFE,DF,PODEMOS,senado,,,,,SEN. REGUFFE
94,RENAN CALHEIROS,AL,MDB,senado,,,,,SEN. RENAN CALHEIROS
95,ROBERTO ROCHA,MA,PSDB,senado,,,,,SEN. ROBERTO ROCHA
