,nc,proponente,programa,empenho,valor_inicial_nc,valor_utilizado,valor_economizado,saldo,consumo_da_nc_%,prop_pk1,prop_pk2
0,01/2021,BANCADA-DE ALAGOAS,GESAC,2021NE000127,1801472.7,1110000.0,144128.50400501405,691472.7,38.38374569872749,,
1,02/2021,BANCADA-DE ALAGOAS,GESAC,2021NE000156,524400.0,150000.0,41215.71257362458,374400.0,28.604118993135014,,
2,03/2021,BANCADA-DE ALAGOAS,GESAC,2021NE000209,5225812.0,60000.0,526388.9344524378,5165812.0,1.1481469291279518,,
3,04/2021,BANCADA-DE MINAS GERAIS,GESAC,2021NE000083,13278264.4,40000.0,1346667.269653176,13238264.4,0.30124418971503536,,
4,05/2021,BANCADA-DE SAO PAULO,GESAC,2021NE000171,1544762.0,560000.0,106963.16038635932,984762.0,36.25153907203828,,
5,06/2021,BANCADA-DO ESPIRITO SANTO,GESAC,2021NE000101,1411014.44,480000.0,100319.11046943098,931014.44,34.01807851094706,,
6,07/2021,BANCADA-DO ESPIRITO SANTO,GESAC,2021NE000126,2245000.0,110000.0,219346.94710381585,2135000.0,4.8997772828507795,,
7,08/2021,BANCADA-DO ESPIRITO SANTO,GESAC,2021NE000159,2752000.0,90000.0,272496.8156212909,2662000.0,3.2703488372093026,,
8,09/2021,BANCADA-DO MARANHAO,GESAC,2021NE000108,750000.0,40000.0,73016.02326599057,710000.0,5.333333333333334,,
9,10/2021,BANCADA-DO PARA,GESAC,2021NE000134,490000.0,484937.90979911434,4887.102480440111,5062.090200885665,98.96692036716618,,
10,11/2021,BANCADA-DO PARA,GESAC,2021NE000158,831400.0,520000.0,38274.637302280746,311400.0,62.545104642771236,,
11,12/2021,CABO JUNIO AMARAL,GESAC,2021NE000122,207000.0,90000.0,13485.824503307002,117000.0,43.47826086956522,,
12,13/2021,CELSO SABINO,GESAC,2021NE000119,97197.71,40000.0,6555.573965822344,57197.71000000001,41.15323293110506,,
13,14/2021,CORONEL CHRISOSTOMO,GESAC,2021NE000132,138500.0,70000.0,8435.702409071939,68500.0,50.54151624548736,,
14,15/2021,DIMAS FABIANO,GESAC,2021NE000183,207000.0,-83913.98504404759,-833.838100465096,290913.9850440476,-40.53815702610994,,
15,16/2021,EDNA HENRIQUE,GESAC,2021NE000130,208000.0,80000.0,14393.742086105862,128000.0,38.46153846153847,,
16,17/2021,ELIAS VAZ,GESAC,2021NE000192,400000.0,40000.0,37336.692248158324,360000.0,10.0,,
17,18/2021,EXPEDITO NETTO,GESAC,2021NE000117,281339.24,110000.0,20134.09714901005,171339.24,39.09870517884388,,
18,19/2021,FABIO REIS,GESAC,2021NE000085,81587.97,-336001.86808866763,-3369.084643789129,417589.8380886676,-411.8277095124044,,
19,20/2021,FLAVIA ARRUDA,GESAC,2021NE000167,881417.69,60000.0,84260.37018168051,821417.69,6.80721531695149,,
20,21/2021,FLAVIANO MELO,GESAC,2021NE000097,66000.0,66665.10621783989,1133.4757704331578,-665.1062178398861,101.0077366936968,,
21,22/2021,FLAVIANO MELO,GESAC,2021NE000189,502796.02,80000.0,45064.89458243279,422796.02,15.911024912249703,,
22,23/2021,GENERAL GIRAO,GESAC,2021NE000139,207000.0,-83913.98504404759,-833.838100465096,290913.9850440476,-40.53815702610994,,
23,24/2021,JOAO ROMA,GESAC,2021NE000120,72167.81,70000.0,1291.2850319227766,2167.8099999999977,96.99615382536896,,
24,25/2021,JOENIA WAPICHANA,GESAC,2021NE000087,9098.42,-1711.4718831133523,-16.808887304029852,10809.891883113352,-18.810649355749156,,
25,26/2021,JOSE NUNES,GESAC,2021NE000181,207000.0,110000.0,12577.202716477974,97000.0,53.14009661835749,,
26,27/2021,JOSIVALDO JP,GESAC,2021NE000128,102000.0,-294972.1085724293,-2956.4485633451204,396972.1085724293,-289.1883417376758,,
27,28/2021,JUNIOR LOURENCO,GESAC,2021NE000177,345000.0,70000.0,29025.81739499957,275000.0,20.28985507246377,,
28,29/2021,LEO DE BRITO,GESAC,2021NE000179,430000.0,120000.0,34339.45303826535,310000.0,27.906976744186046,,
29,30/2021,LEUR LOMANTO,GESAC,2021NE000098,66102.3,50000.0,2789.5110985199544,16102.300000000003,75.64033324105213,,
30,31/2021,LUCIANO BIVAR,GESAC,2021NE000118,3253.19,3253.2335893456752,32.78402684435406,-0.04358934567517281,100.00133989547722,,
31,32/2021,LUIS TIBE,GESAC,2021NE000169,207000.0,110000.0,12175.729675437973,97000.0,53.14009661835749,,
32,33/2021,MARA ROCHA,GESAC,2021NE000115,408375.1,50000.0,37482.60342148846,358375.1,12.243645609147082,,
