,cod,nome,sigla
0,35.0,SAO PAULO,SP
1,41.0,PARANA,PR
2,42.0,SANTA CATARINA,SC
3,43.0,RIO GRANDE DO SUL,RS
4,50.0,MATO GROSSO DO SUL,MS
5,11.0,RONDONIA,RO
6,12.0,ACRE,AC
7,13.0,AMAZONAS,AM
8,14.0,RORAIMA,RR
9,15.0,PARA,PA
10,16.0,AMAPA,AP
11,17.0,TOCANTINS,TO
12,21.0,MARANHAO,MA
13,24.0,RIO GRANDE DO NORTE,RN
14,25.0,PARAIBA,PB
15,26.0,PERNAMBUCO,PE
16,27.0,ALAGOAS,AL
17,28.0,SERGIPE,SE
18,29.0,BAHIA,BA
19,31.0,MINAS GERAIS,MG
20,33.0,RIO DE JANEIRO,RJ
21,51.0,MATO GROSSO,MT
22,52.0,GOIAS,GO
23,53.0,DISTRITO FEDERAL,DF
24,22.0,PIAUI,PI
25,23.0,CEARA,CE
26,32.0,ESPIRITO SANTO,ES
